spkt,spkid
-3.2253333333333316,4875
-3.2252666666666663,2408
-3.2252666666666556,1768
-3.225200000000001,3167
-3.225199999999999,5478
-3.2251666666666665,3120
-3.225133333333332,3531
-3.2250999999999976,1374
-3.2250666666666667,4498
-3.225033333333333,3888
-3.2250333333333305,4464
-3.2250333333333288,4590
-3.225,5118
-3.22496666666666,5203
-3.2249000000000003,5096
-3.224899999999998,471
-3.224899999999998,1912
-3.2248666666666663,1847
-3.2248666666666637,5440
-3.2247999999999983,5466
-3.2247666666666657,2799
-3.2247666666666603,4158
-3.224733333333333,1885
-3.2246999999999995,3088
-3.2246666666666695,5354
-3.224666666666666,1197
-3.2246666666666606,642
-3.2246000000000024,4004
-3.224599999999999,1171
-3.224599999999999,5171
-3.224566666666661,2852
-3.2245333333333335,2394
-3.2245333333333264,2742
-3.2244666666666664,2630
-3.224400000000003,2272
-3.2243333333333197,5233
-3.224299999999996,1921
-3.2242999999999142,1794
-3.2242666666666664,1874
-3.2242000000000033,497
-3.224199999999998,5488
-3.224199999999996,4154
-3.2241333333333344,4019
-3.2241333333333344,5360
-3.224133333333331,1175
-3.2241,2366
-3.2241,3342
-3.224099999999993,3951
-3.2240666666666655,2405
-3.224033333333333,5482
-3.224033333333331,2664
-3.224033333333331,5211
-3.2240000000000038,2512
-3.2239333333333313,4219
-3.2238999999999987,4210
-3.2238666666666624,5158
-3.2238333333333316,2501
-3.2238333333333316,3365
-3.223799999999983,3773
-3.2237666666666698,1623
-3.2237666666666627,4151
-3.223733333333332,1003
-3.223733333333314,185
-3.223700000000001,956
-3.2236666666666647,4213
-3.223633333333332,1193
-3.223600000000001,3655
-3.2235666666666667,70
-3.223566666666663,5201
-3.2235333333333336,5100
-3.2235333333333323,2421
-3.2235333333333323,5406
-3.2235000000000014,2181
-3.2235000000000014,4693
-3.2235000000000014,5215
-3.2234999999999996,3368
-3.2234999999999943,2719
-3.223466666666667,5350
-3.2234666666666634,1181
-3.2234333333333325,979
-3.2234333333333325,2419
-3.2234333333333325,2503
-3.223366666666667,5387
-3.223366666666635,2584
-3.2233333333333327,2804
-3.223333333333329,2848
-3.223300000000002,1231
-3.2233,80
-3.2232999999999983,1923
-3.2232999999999983,5175
-3.2232666666666656,3362
-3.223233333333333,2798
-3.223233333333326,2761
-3.223033333333337,4490
-3.223000000000006,4892
-3.2230000000000025,3641
-3.2229666666666716,2054
-3.2229666666666645,702
-3.2229666666666645,1959
-3.2229666666666645,2704
-3.22293333333333,117
-3.22293333333333,688
-3.222899999999999,4004
-3.222833333333334,3658
-3.2227999999999994,5388
-3.2227999999999923,3535
-3.2227333333333306,5390
-3.2227000000000317,4096
-3.2226999999999997,2790
-3.222666666666669,701
-3.2226666666666617,3118
-3.222633333333331,3394
-3.222633333333331,5408
-3.2226333333333272,3439
-3.222599999999993,5214
-3.2225666666666655,3408
-3.2225333333333332,76
-3.2225,3416
-3.2225,3985
-3.2224999999999984,3351
-3.222466666666664,973
-3.222466666666662,2125
-3.222466666666662,2153
-3.2223999999999995,2376
-3.2223333333333315,5482
-3.2222999999999997,2649
-3.22229999999999,5225
-3.222233333333321,1656
-3.222200000000001,3671
-3.222199999999999,2781
-3.2221666666666646,3330
-3.222166666666663,3380
-3.222166666666652,1450
-3.222133333333332,3841
-3.2221,1844
-3.2220999999999975,5410
-3.2220666666666773,2492
-3.222033333333343,2484
-3.2220333333333286,2850
-3.221999999999994,2721
-3.2219333333332543,1106
-3.2218999999999998,963
-3.221866666666667,5374
-3.2218666666666635,1267
-3.221833333333331,4215
-3.2218333333332794,365
-3.2218,975
-3.2217666666666664,2609
